nohup: ignoring input
2026-08-19 01:24:25,325 | INFO | crypto_bot | Bot started | pair=ROBO-USDT | mode=monitor | equity=1000.00
2026-08-19 01:24:25,918 | INFO | crypto_bot.exchange_api | startup_self_check passed: {'time_drift': 'time_ok (drift=0.056s)', 'instrument_tradable': 'instrument_ok (inst_id=ROBO-USDT, state=live)', 'instrument_whitelist': 'whitelist_ok (inst_id=ROBO-USDT)', 'api_credentials': 'credentials_ok (account balance fetched, code=0)'}
2026-08-19 01:35:11,091 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:34:00+00:00 o=0.01293000 h=0.01293000 l=0.01293000 c=0.01293000 v=125.40000000
2026-08-19 01:35:11,091 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:35:11,091 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:30:00+00:00 o=0.01291000 h=0.01293000 l=0.01291000 c=0.01293000 v=33206.00000000
2026-08-19 01:35:11,091 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:35:11.036000+00:00 price=0.01296000 size=446.90000000
2026-08-19 01:37:03,811 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:37:03.757000+00:00 price=0.01293000 size=35000.00000000
2026-08-19 01:37:03,811 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:35:00+00:00 o=0.01295000 h=0.01296000 l=0.01295000 c=0.01296000 v=563.00000000
2026-08-19 01:37:03,811 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:42:05,599 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:05.545000+00:00 price=0.01297000 size=1672.00000000
2026-08-19 01:42:05,599 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:37:00+00:00 o=0.01293000 h=0.01293000 l=0.01293000 c=0.01293000 v=35000.00000000
2026-08-19 01:42:05,599 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:42:05,599 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:35:00+00:00 o=0.01295000 h=0.01296000 l=0.01293000 c=0.01293000 v=35563.00000000
2026-08-19 01:42:20,399 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:20.345000+00:00 price=0.01299000 size=581.70000000
2026-08-19 01:42:23,630 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:23.576000+00:00 price=0.01298000 size=14373.90000000
2026-08-19 01:42:36,028 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:35.974000+00:00 price=0.01299000 size=3880.90000000
2026-08-19 01:42:39,815 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:39.761000+00:00 price=0.01297000 size=32967.10000000
2026-08-19 01:42:59,724 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:42:59.670000+00:00 price=0.01298000 size=14809.50000000
2026-08-19 01:43:24,733 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:43:24.679000+00:00 price=0.01299000 size=3662.40000000
2026-08-19 01:43:24,733 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:42:00+00:00 o=0.01297000 h=0.01299000 l=0.01297000 c=0.01298000 v=68285.10000000
2026-08-19 01:43:24,733 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:43:24,734 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:43:24.679000+00:00 price=0.01299000 size=39304.70000000
2026-08-19 01:43:24,734 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:43:24.679000+00:00 price=0.01300000 size=36918.70000000
2026-08-19 01:43:24,734 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:43:24.679000+00:00 price=0.01300000 size=28022.20000000
2026-08-19 01:46:26,618 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:46:26.564000+00:00 price=0.01302000 size=296.40000000
2026-08-19 01:46:26,618 | INFO | crypto_bot | 1m CLOSED ts=2026-08-19T01:43:00+00:00 o=0.01299000 h=0.01300000 l=0.01299000 c=0.01300000 v=107908.00000000
2026-08-19 01:46:26,618 | INFO | crypto_bot | ENTRY signal=HOLD reason=trend_filter_not_passed meta={'regime': 'unknown'}
2026-08-19 01:46:26,618 | INFO | crypto_bot | 5m CLOSED ts=2026-08-19T01:40:00+00:00 o=0.01297000 h=0.01300000 l=0.01297000 c=0.01300000 v=176193.10000000
2026-08-19 01:46:26,618 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:46:26.564000+00:00 price=0.01303000 size=19964.00000000
2026-08-19 01:46:26,629 | INFO | crypto_bot | TRADE pair=ROBO-USDT time=2026-08-19T01:46:26.575000+00:00 price=0.01302000 size=531.20000000
